Customer ID,Recency,Frequency,Monetary,Cluster,Churn
AA-10315,184,5,5563.56,1,1
AA-10375,19,9,1056.39,2,0
AA-10480,259,4,1790.5120000000002,2,1
AA-10645,55,6,5086.9349999999995,1,0
AB-10015,415,3,886.156,2,1
AB-10060,54,8,7755.62,1,0
AB-10105,41,10,14473.570999999998,3,0
AB-10150,41,5,966.71,2,0
AB-10165,25,8,1113.838,2,0
AB-10255,166,9,914.5319999999999,2,1
AB-10600,50,4,1515.862,2,0
AC-10420,232,3,925.8,2,1
AC-10450,11,7,5527.846,1,0
AC-10615,6,5,2537.6859999999997,0,0
AC-10660,282,5,657.316,2,1
AD-10180,29,8,6106.88,1,0
AF-10870,41,7,2052.908,2,0
AF-10885,415,4,861.565,2,1
AG-10270,278,5,2582.898,0,1
AG-10300,118,4,367.548,2,1
AG-10330,8,5,660.972,2,0
AG-10390,114,5,200.945,2,1
AG-10495,78,8,2356.855,0,0
AG-10525,845,4,1455.038,2,1
AG-10675,97,7,3489.0396000000005,0,1
AG-10765,77,4,170.584,2,0
AG-10900,96,10,4510.797,0,1
AH-10030,12,7,1744.7,2,0
AH-10075,34,10,3250.337,0,0
AH-10120,60,7,1735.5140000000001,2,0
AH-10195,55,4,1587.452,2,0
AH-10210,6,9,4805.344,0,0
AH-10465,230,5,2495.3916,0,1
AH-10585,21,4,738.504,2,0
AH-10690,410,12,7888.294,1,1
AI-10855,13,10,4375.786,0,0
AJ-10780,75,7,4867.344,1,0
AJ-10795,166,7,4501.391,0,1
AJ-10945,85,7,1839.24,2,0
AJ-10960,74,3,629.2479999999999,2,0
AM-10360,28,5,814.012,2,0
AM-10705,162,8,5664.022,1,1
AO-10810,501,1,161.28,2,1
AP-10720,41,8,1638.554,2,0
AP-10915,98,10,3323.556,0,1
AR-10345,111,4,1055.694,2,1
AR-10405,125,5,2236.128,0,1
AR-10510,14,5,264.86400000000003,2,0
AR-10540,6,6,6608.448,1,0
AR-10570,534,1,88.15,2,1
AR-10825,58,8,4523.336,0,0
AS-10045,88,7,3050.692,0,0
AS-10090,28,9,3255.31,0,0
AS-10135,41,2,58.82,2,0
AS-10225,22,5,4260.784,0,0
AS-10240,192,7,584.6080000000001,2,1
AS-10285,19,6,3214.236,0,0
AS-10630,92,7,833.398,2,1
AT-10435,21,6,1171.814,2,0
AT-10735,13,10,3831.864,0,0
AW-10840,20,4,649.376,2,0
AW-10930,46,7,2852.968,0,0
AY-10555,14,4,497.014,2,0
AZ-10750,160,6,1622.0179999999998,2,1
BB-10990,105,5,744.3399999999999,2,1
BB-11545,28,9,6765.728,1,0
BC-11125,202,9,2933.676,0,1
BD-11320,33,12,5718.521,1,0
BD-11500,35,6,4411.2429999999995,0,0
BD-11560,278,2,320.54,2,1
BD-11605,97,7,3288.471,0,1
BD-11620,69,6,1538.11,2,0
BD-11635,9,3,582.646,2,0
BD-11725,93,6,1526.5,2,1
BD-11770,327,6,658.466,2,1
BE-11335,119,5,4204.676,0,1
BE-11410,98,5,2261.438,0,1
BE-11455,254,6,1727.652,2,1
BF-10975,91,7,599.798,2,1
BF-11005,39,4,1333.88,2,0
BF-11020,74,8,2888.506,0,0
BF-11080,25,3,272.95,2,0
BF-11170,16,11,5907.972,1,0
BF-11215,65,4,1585.162,2,0
BF-11275,57,3,791.9899999999999,2,0
BG-11035,28,8,2798.948,0,0
BG-11695,36,6,1874.172,2,0
BG-11740,57,6,1006.356,2,0
BH-11710,23,8,6255.351,1,0
BK-11260,77,6,659.1379999999999,2,0
BM-11140,307,4,11789.63,3,1
BM-11575,100,6,808.162,2,1
BM-11650,33,11,7294.185,1,0
BM-11785,218,10,1338.842,2,1
BN-11470,24,4,265.296,2,0
BN-11515,9,5,1459.344,2,0
BO-11350,137,5,2682.728,0,1
BO-11425,75,2,130.83,2,0
BP-11050,83,5,983.42,2,0
BP-11095,17,12,2442.044,0,0
BP-11155,89,6,1697.8609999999999,2,0
BP-11185,1,9,3675.861,0,0
BP-11230,39,5,1181.49,2,0
BP-11290,12,7,2475.157,0,0
BS-11365,558,5,10501.653,3,1
BS-11380,28,5,3887.834,0,0
BS-11590,35,6,2454.928,0,0
BS-11665,582,3,3288.1099999999997,0,1
BS-11755,1,7,2562.382,0,0
BS-11800,265,2,949.4300000000001,2,1
BT-11305,336,5,2567.656,0,1
BT-11395,302,6,2186.6130000000003,0,1
BT-11440,560,4,603.876,2,1
BT-11485,659,2,415.19599999999997,2,1
BT-11530,91,5,2684.4919999999997,0,1
BT-11680,20,7,3196.752,0,0
BV-11245,334,5,1523.2730000000001,2,1
BW-11065,212,3,385.516,2,1
BW-11110,121,8,4750.358,0,1
BW-11200,203,6,1738.406,2,1
CA-11965,96,6,3789.7228,0,1
CA-12055,401,5,1679.7240000000002,2,1
CA-12265,56,9,2648.2872,0,0
CA-12310,13,4,1421.954,2,0
CA-12775,120,7,3041.566,0,1
CB-12025,47,10,6076.139,1,0
CB-12415,26,8,1949.2,2,0
CB-12535,197,8,4246.4555,0,1
CC-12100,457,6,1770.945,2,1
CC-12145,106,7,2471.65,0,1
CC-12220,20,12,3913.418,0,0
CC-12370,43,5,12129.072000000002,3,0
CC-12430,0,10,2870.05,0,0
CC-12475,39,9,1659.438,2,0
CC-12550,27,3,113.832,2,0
CC-12610,34,7,2540.631,0,0
CC-12670,29,7,2269.7015,0,0
CC-12685,799,4,2854.1150000000002,0,1
CD-11920,40,5,2033.968,2,0
CD-11980,54,3,639.766,2,0
CD-12280,42,2,1205.584,2,0
CD-12790,399,5,1860.732,2,1
CG-12040,49,6,904.4680000000001,2,0
CG-12520,338,2,154.88,2,1
CH-12070,691,3,1537.236,2,1
CJ-11875,365,1,16.52,2,1
CJ-12010,189,8,11164.974,3,1
CK-12205,39,13,3154.855,0,0
CK-12325,120,5,2945.321,0,1
CK-12595,43,11,2372.75,0,0
CK-12760,82,9,1582.109,2,0
CL-11890,106,4,1262.0140000000001,2,1
CL-12565,284,12,10880.546,3,1
CL-12700,105,5,2353.586,0,1
CM-11815,131,6,1673.888,2,1
CM-11935,708,2,565.392,2,1
CM-12115,8,4,1661.6100000000001,2,0
CM-12160,26,6,2533.314,0,0
CM-12190,8,6,1475.144,2,0
CM-12235,385,5,2305.712,0,1
CM-12385,37,4,8954.019999999999,1,0
CM-12445,436,3,287.99,2,1
CM-12655,27,6,6339.5576,1,0
CM-12715,1035,4,3984.4524,0,1
CP-12085,82,8,5402.254,1,0
CP-12340,160,8,5888.275,1,1
CR-12580,57,4,2148.852,0,0
CR-12625,470,3,475.9,2,1
CR-12730,78,4,1600.55,2,0
CR-12820,85,3,1397.8724,2,0
CS-11845,91,5,1278.954,2,1
CS-11860,162,6,537.632,2,1
CS-11950,25,11,3036.547,0,0
CS-12130,489,4,884.64,2,1
CS-12175,232,5,844.4580000000001,2,1
CS-12250,26,12,2754.216,0,0
CS-12355,6,11,3202.1620000000003,0,0
CS-12400,2,9,3651.8585000000003,0,0
CS-12460,27,2,550.644,2,0
CS-12490,424,4,1077.2285,2,1
CS-12505,58,6,5690.054999999999,1,0
CT-11995,96,8,3241.898,0,1
CV-12295,254,5,2830.6279999999997,0,1
CV-12805,5,9,2370.3136,0,0
CW-11905,22,6,1136.592,2,0
CY-12745,60,8,2900.026,0,0
Co-12640,549,5,1300.076,2,1
DA-13450,352,4,156.76,2,1
DB-12910,21,8,2171.599,0,0
DB-12970,241,5,2839.2272,0,1
DB-13060,16,7,4531.646,0,0
DB-13120,48,7,2973.094,0,0
DB-13210,9,10,2332.577,0,0
DB-13270,53,8,4655.897,0,0
DB-13360,264,5,1081.466,2,1
DB-13405,187,4,1711.692,2,1
DB-13555,107,7,3908.8028,0,1
DB-13615,33,7,1989.05,2,0
DB-13660,12,7,1155.202,2,0
DC-12850,37,9,3336.168,0,0
DC-13285,23,5,1174.618,2,0
DD-13570,41,6,269.542,2,0
DE-13255,719,5,2550.874,0,1
DF-13135,700,3,2390.534,0,1
DG-13300,32,5,3195.818,0,0
DH-13075,277,6,4932.872,1,1
DH-13675,776,4,1043.096,2,1
DJ-13420,637,4,2012.52,2,1
DJ-13510,48,8,2501.6879999999996,0,0
DJ-13630,12,3,3356.398,0,0
DK-12835,21,12,3256.48,0,0
DK-12895,45,5,4282.176,0,0
DK-12985,7,5,1687.04,2,0
DK-13090,42,7,2650.557,0,0
DK-13150,10,2,797.832,2,0
DK-13225,10,9,4802.394,0,0
DK-13375,19,8,3318.486,0,0
DL-12865,100,8,1503.112,2,1
DL-12925,57,6,3272.2,0,0
DL-13315,22,8,1458.258,2,0
DL-13330,57,4,585.02,2,0
DL-13495,76,8,3539.322,0,0
DM-12955,114,7,1322.034,2,1
DM-13015,57,7,6345.103,1,0
DM-13345,22,8,4074.4719999999998,0,0
DM-13525,481,3,1376.792,2,1
DN-13690,217,7,2139.79,0,1
DO-13435,133,9,1300.0315,2,1
DO-13645,26,7,1267.316,2,0
DP-13000,126,9,1050.636,2,1
DP-13105,6,8,2215.002,0,0
DP-13165,812,2,1058.616,2,1
DP-13390,358,9,5480.723999999999,1,1
DR-12880,3,9,6528.034000000001,1,0
DR-12940,50,8,8350.868,1,0
DS-13030,93,4,1762.213,2,1
DS-13180,23,9,2881.8128,0,0
DV-13045,19,5,1119.483,2,0
DV-13465,29,6,3341.587,0,0
DW-13195,69,6,1080.751,2,0
DW-13480,217,5,5271.628,1,1
DW-13540,98,5,344.08,2,1
DW-13585,242,7,1204.854,2,1
Dl-13600,119,5,755.602,2,1
Dp-13240,84,11,7198.7609999999995,1,0
EA-14035,152,13,2846.705,0,1
EB-13705,48,9,3644.978,0,0
EB-13750,35,10,3236.314,0,0
EB-13840,90,5,4358.128,0,0
EB-13870,100,10,2767.219,0,1
EB-13930,161,5,944.6000000000001,2,1
EB-13975,0,4,1643.255,2,0
EB-14110,113,6,3071.126,0,1
EB-14170,82,6,1186.326,2,0
EC-14050,53,5,461.914,2,0
ED-13885,135,8,3484.92,0,1
EG-13900,22,5,1832.02,2,0
EH-13765,135,12,10310.880000000001,3,1
EH-13945,217,8,684.1709999999999,2,1
EH-13990,405,6,825.9499999999999,2,1
EH-14005,2,7,1219.53,2,0
EH-14125,152,10,3082.653,0,1
EH-14185,105,6,923.884,2,1
EJ-13720,302,4,2162.174,0,1
EJ-14155,57,5,2656.691,0,0
EK-13795,44,4,1303.478,2,0
EL-13735,77,2,124.28,2,0
EM-13810,132,5,2567.0099999999998,0,1
EM-13825,55,8,2339.598,0,0
EM-13960,151,5,933.704,2,1
EM-14065,47,4,228.99,2,0
EM-14095,113,4,1041.0420000000001,2,1
EM-14140,48,6,4588.436000000001,0,0
EM-14200,158,3,366.822,2,1
EN-13780,287,4,2199.366,0,1
