Category,Sub-Category,Sales,Profit,Margin
Furniture,Bookcases,114618.0363,-3514.4696,-0.030662448192719557
Furniture,Chairs,328449.103,26590.1663,0.08095673289142763
Furniture,Furnishings,91705.164,13059.1436,0.14240357936658832
Furniture,Tables,206965.532,-17725.4811,-0.08564460433923848
Office Supplies,Appliances,107532.16100000001,18138.005400000002,0.16867516872463859
Office Supplies,Art,27118.792,6527.787,0.24071083254740847
Office Supplies,Binders,203412.733,30221.7633,0.1485736062550224
Office Supplies,Envelopes,16476.402,6964.1767,0.42267581842200747
Office Supplies,Fasteners,3024.28,949.5182,0.3139650429193064
Office Supplies,Labels,12486.312,5546.254,0.4441867222283089
Office Supplies,Paper,78479.206,34053.5693,0.43391837195702515
Office Supplies,Storage,223843.608,21278.8264,0.09506113035847778
Office Supplies,Supplies,46673.538,-1189.0995,-0.025476952272184723
Technology,Accessories,167380.318,41936.6357,0.2505469950176579
Technology,Copiers,149528.03,55617.8249,0.3719558460042575
Technology,Machines,189238.631,3384.7569,0.01788618360909618
Technology,Phones,330007.054,44515.7306,0.1348932698874976
